,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Headquarters,Size,Founded,Ownership_Type,Industry,Sector,Revenue,Competitors,Easy_Apply,Minimum_Salary,Maximum_Salary
47,Data Analyst,$46K-$87K,3.6,MediaMath,"New York, NY","New York, NY",501 to 1000 ,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),"Criteo, AppNexus, dataxu",True,46000,87000
48,Data Analyst,$46K-$87K,4.9,Jordan & Jordan,"New York, NY","New York, NY",1 to 50 ,1990,Company - Private,Brokerage Services,Finance,0,0,0,46000,87000
49,Data Analyst,$46K-$87K,3.9,Roku,"New York, NY","San Jose, CA",1001 to 5000 ,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,46000,87000
50,Data Analyst,$46K-$87K,4,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ ,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,46000,87000
51,Data Analyst,$46K-$87K,3.8,Citadel,"New York, NY","Chicago, IL",1001 to 5000 ,1990,Company - Private,0,0,$50 to $100 million (USD),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",0,46000,87000
52,Data Analyst,$46K-$87K,3.7,Xoriant Corporation,"Jersey City, NJ","Sunnyvale, CA",1001 to 5000 ,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Persistent Systems (India), GlobalLogic, Synechron",0,46000,87000
53,Data Analyst,$46K-$87K,3.6,Gemini,"New York, NY","New York, NY",51 to 200 ,2015,Company - Private,Brokerage Services,Finance,0,0,0,46000,87000
55,Data Analyst,$46K-$87K,-1,NADAP NYS INC.,"New York, NY",0,0,0,0,0,0,0,0,0,46000,87000
56,Data Analyst,$46K-$87K,4,Walt Disney Co.,"New York, NY","Burbank, CA",10000+ ,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",0,46000,87000
57,Data Analyst,$46K-$87K,3.2,Fragomen Worldwide,"New York, NY","New York, NY",1001 to 5000 ,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),0,0,46000,87000
58,Data Analyst,$46K-$87K,3.8,Bloomberg,"New York, NY","New York, NY",10000+ ,1981,Company - Private,Computer Hardware & Software,Information Technology,0,"Google, Goldman Sachs, Thomson Reuters",0,46000,87000
59,Data Analyst,$46K-$87K,3.9,Real Capital Analytics,"New York, NY","New York, NY",51 to 200 ,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),0,0,46000,87000
60,Data Analyst,$51K-$88K,4.8,Ro,"New York, NY","New York, NY",51 to 200 ,2017,Company - Private,Health Care Services & Hospitals,Health Care,0,0,0,51000,88000
61,Data Analyst,$51K-$88K,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 ,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,51000,88000
62,Data Analyst,$51K-$88K,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 ,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,51000,88000
63,Data Analyst,$51K-$88K,3.6,Perficient,"New York, NY","Saint Louis, MO",1001 to 5000 ,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,51000,88000
64,Data Analyst,$51K-$88K,4.1,Kforce,"New York, NY","Tampa, FL",10000+ ,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),0,0,51000,88000
65,Data Analyst,$51K-$88K,3.9,Criteo,"New York, NY","Paris, France",1001 to 5000 ,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus",0,51000,88000
66,Data Analyst,$51K-$88K,3,Royal Communications,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),0,0,51000,88000
67,Data Analyst,$51K-$88K,3.7,Neuberger Berman,"New York, NY","New York, NY",1001 to 5000 ,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),"Fidelity Investments, BlackRock, Putnam Investments",0,51000,88000
68,Data Analyst,$51K-$88K,-1,Greater New York Mutual Insurance Companies (GNY),"New York, NY",0,0,0,0,0,0,0,0,0,51000,88000
69,Data Analyst,$51K-$88K,3.9,Diverse Lynx,"New York, NY","Princeton, NJ",501 to 1000 ,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),0,0,51000,88000
70,Data Analyst,$51K-$88K,3.7,eTeam Inc.,"New York, NY","South Plainfield, NJ",51 to 200 ,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),"Artech Information Systems, Mindlance, Tech Mahindra",0,51000,88000
71,Data Analyst,$51K-$88K,-1,impakt Advisors,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,Consulting,Business Services,0,0,0,51000,88000
72,Data Analyst,$51K-$88K,3.6,Current,"New York, NY","Colorado Springs, CO",201 to 500 ,0,Company - Public,0,0,0,0,0,51000,88000
73,Data Analyst,$51K-$88K,3.7,Citi,"New York, NY","New York, NY",10000+ ,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),0,0,51000,88000
74,Data Analyst,$51K-$88K,3.6,Axelon Services Corporation,"New York, NY","New York, NY",501 to 1000 ,0,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),0,0,51000,88000
75,Data Analyst,$51K-$88K,4.1,United Nations,"New York, NY","New York, NY",10000+ ,1945,Government,Federal Agencies,Government,0,0,0,51000,88000
76,Data Analyst,$51K-$88K,3.5,"Discovery Communications, Inc.","New York, NY","New York, NY",10000+ ,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),0,0,51000,88000
77,Data Analyst,$51K-$88K,3.7,Randstad,"Jersey City, NJ","Atlanta, GA",1001 to 5000 ,0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,0,0,0,51000,88000
78,Data Analyst,$51K-$88K,5,Mulberry Technology,"New York, NY","New York, NY (US), NY",1 to 50 ,0,Company - Private,0,0,0,0,0,51000,88000
79,Data Analyst,$51K-$88K,4,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 ,0,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),0,0,51000,88000
80,Data Analyst,$51K-$88K,4.8,SoftStandard Solutions,"New York, NY","Fremont, CA",51 to 200 ,0,Company - Private,0,0,0,0,0,51000,88000
81,Data Analyst,$51K-$88K,5,"EDO, Inc.","New York, NY","Los Angeles, CA",1 to 50 ,0,Company - Private,Internet,Information Technology,0,0,0,51000,88000
82,Data Analyst,$51K-$88K,3.3,Guidepoint,"New York, NY","New York, NY",501 to 1000 ,2003,Company - Private,Research & Development,Business Services,0,"Coleman Research, AlphaSights, Third Bridge",True,51000,88000
83,Data Analyst,$51K-$88K,4.1,Mitchell Martin,"New York, NY","New York, NY",501 to 1000 ,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),0,0,51000,88000
84,Data Analyst,$51K-$88K,4,Lorven Technologies Inc,"New York, NY","Plainsboro, NJ",1 to 50 ,0,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),0,0,51000,88000
85,Data Analyst,$51K-$88K,-1,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,0,Company - Private,0,0,0,0,0,51000,88000
86,Data Analyst,$51K-$88K,1,Sphinix Network Solutions Inc.,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,IT Services,Information Technology,Less than $1 million (USD),0,0,51000,88000
87,Data Analyst,$51K-$88K,3.1,Praescient Analytics,"New York, NY","Alexandria, VA",51 to 200 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),0,0,51000,88000
88,Data Analyst,$51K-$88K,4.5,Global Atlantic Financial Group,"New York, NY","New York, NY",1001 to 5000 ,2004,Company - Private,Insurance Carriers,Insurance,0,0,True,51000,88000
89,Data Analyst,$51K-$88K,3.4,FINRA,"New York, NY","Washington, DC",1001 to 5000 ,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),0,0,51000,88000
90,Data Analyst,$51K-$87K,-1,NYU Langone Medical Center,"New York, NY",0,0,0,0,0,0,0,0,0,51000,87000
91,Data Analyst,$51K-$87K,3.6,Jefferies,"New York, NY","New York, NY",1001 to 5000 ,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),0,0,51000,87000
92,Data Analyst,$51K-$87K,4.1,RGP,"New York, NY","Irvine, CA",1001 to 5000 ,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),"Deloitte, Huron Consulting Group, Point B",0,51000,87000
93,Data Analyst,$51K-$87K,4.4,Tachyon Technologies,"New York, NY","Irving, TX",201 to 500 ,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),0,0,51000,87000
94,Data Analyst,$51K-$87K,3.8,Apex Systems,"Jersey City, NJ","Glen Allen, VA",1001 to 5000 ,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",True,51000,87000
95,Data Analyst,$51K-$87K,3.2,Hagerty Consulting,"New York, NY","Evanston, IL",1 to 50 ,0,Company - Private,Consulting,Business Services,$1 to $5 million (USD),0,0,51000,87000
96,Data Analyst,$51K-$87K,-1,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 ,0,Company - Private,Food & Beverage Stores,Retail,0,0,0,51000,87000
97,Data Analyst,$51K-$87K,3.8,Cortex consultants LLC,"New York, NY","North Brunswick, NJ",501 to 1000 ,0,Company - Private,Consulting,Business Services,0,0,0,51000,87000
98,Data Analyst,$51K-$87K,4.7,Medly Pharmacy,"Brooklyn, NY","Brooklyn, NY",201 to 500 ,2017,Unknown,Health Care Services & Hospitals,Health Care,0,0,0,51000,87000
99,Data Analyst,$51K-$87K,2.3,Fair Health,"New York, NY","New York, NY",1 to 50 ,0,Nonprofit Organization,0,0,$10 to $25 million (USD),0,0,51000,87000
100,Data Analyst,$51K-$87K,3.8,Peloton Interactive,"New York, NY","New York, NY",1001 to 5000 ,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,0,0,True,51000,87000
101,Data Analyst,$51K-$87K,4.6,ektello,"New York, NY","Troy, MI",201 to 500 ,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),0,0,51000,87000
102,Data Analyst,$51K-$87K,3,"Premier, Inc.","New York, NY","Charlotte, NC",1001 to 5000 ,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),0,0,51000,87000
103,Data Analyst,$51K-$87K,3.9,JPMorgan Chase,"New York, NY","New York, NY",10000+ ,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),0,0,51000,87000
104,Data Analyst,$51K-$87K,3,Fund for Public Health,"Long Island City, NY","New York, NY",201 to 500 ,0,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),0,0,51000,87000
105,Data Analyst,$51K-$87K,4.2,BlueVoyant,"New York, NY","New York, NY",51 to 200 ,0,Company - Private,0,0,0,0,0,51000,87000
106,Data Analyst,$51K-$87K,5,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 ,0,Company - Private,Consulting,Business Services,$5 to $10 million (USD),0,0,51000,87000
107,Data Analyst,$51K-$87K,4,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 ,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,51000,87000
108,Data Analyst,$51K-$87K,-1,Hyde Leadership Brooklyn,"Brooklyn, NY","Brooklyn, NY",51 to 200 ,0,School / School District,0,0,0,0,0,51000,87000
109,Data Analyst,$51K-$87K,-1,Vertex Intel Systems,"Jersey City, NJ",0,0,0,0,0,0,0,0,0,51000,87000
110,Data Analyst,$51K-$87K,3.6,My Job Tank,"Jersey City, NJ","New York, NY",51 to 200 ,0,Company - Private,IT Services,Information Technology,0,0,True,51000,87000
111,Data Analyst,$51K-$87K,3.7,Cowen,"New York, NY","New York, NY",501 to 1000 ,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),"Jefferies, Piper Sandler, FBR",0,51000,87000
112,Data Analyst,$51K-$87K,3.5,Robert Half,"New York, NY","Menlo Park, CA",10000+ ,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower",0,51000,87000
113,Data Analyst,$51K-$87K,2.8,FJA-US Inc.,"New York, NY","New York, NY",51 to 200 ,1994,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),"Ibotta, GutCheck",0,51000,87000
114,Data Analyst,$51K-$87K,5,Averity,"New York, NY","New York, NY",1 to 50 ,2014,Company - Private,Staffing & Outsourcing,Business Services,0,0,0,51000,87000
115,Data Analyst,$51K-$87K,3.8,Capgemini,"Jersey City, NJ","Paris, France",10000+ ,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Accenture, CGI, Sopra Steria",0,51000,87000
116,Data Analyst,$51K-$87K,3.4,Wildlife Conservation Society,"New York, NY","Bronx, NY",1001 to 5000 ,1895,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),0,0,51000,87000
117,Data Analyst,$51K-$87K,3.6,Asembia,"Florham Park, NJ","Florham Park, NJ",501 to 1000 ,2004,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),0,0,51000,87000
118,Data Analyst,$51K-$87K,-1,Vesta Healthcare,"New York, NY","New York, NY",1 to 50 ,2018,Company - Private,Health Care Services & Hospitals,Health Care,0,0,0,51000,87000
119,Data Analyst,$51K-$87K,3.2,1199SEIU Funds,"New York, NY","New York, NY",1001 to 5000 ,0,Nonprofit Organization,Insurance Carriers,Insurance,$100 to $500 million (USD),0,0,51000,87000
120,Data Analyst,$59K-$85K,3.8,Nutrafol,"New York, NY","New York, NY",51 to 200 ,0,Other Organization,"Health, Beauty, & Fitness",Consumer Services,0,0,0,59000,85000
121,Data Analyst,$59K-$85K,3.5,New York Life Insurance Co,"New York, NY","New York, NY",10000+ ,1845,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),0,0,59000,85000
122,Data Analyst,$59K-$85K,3.5,"EDP World, Inc.","New York, NY","New York, NY",1 to 50 ,1968,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),0,0,59000,85000
123,Data Analyst,$59K-$85K,4.1,Phyton Talent Advisors,"Jersey City, NJ","New York, NY",1 to 50 ,0,Company - Private,0,0,0,0,0,59000,85000
124,Data Analyst,$59K-$85K,5,"Staffigo Technical Services, LLC","New York, NY","Woodridge, IL",51 to 200 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,59000,85000
125,Data Analyst,$59K-$85K,3.7,IBM,"New York, NY","Armonk, NY",10000+ ,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft",0,59000,85000
126,Data Analyst,$59K-$85K,4,Northwell Health,"Manhasset, NY","Lake Success, NY",10000+ ,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),"Catholic Health System, NewYork-Presbyterian Hospital",0,59000,85000
128,Data Analyst,$59K-$85K,2.9,Vericred,"New York, NY","New York, NY",1 to 50 ,2015,Company - Private,Internet,Information Technology,0,0,0,59000,85000
129,Data Analyst,$59K-$85K,3.6,Scotiabank,"New York, NY","Toronto, Canada",10000+ ,1832,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),RBC,0,59000,85000
130,Data Analyst,$59K-$85K,3.2,Child Mind Institute,"New York, NY","New York, NY",201 to 500 ,2009,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),0,0,59000,85000
131,Data Analyst,$59K-$85K,3.1,Balance Innovations,"New York, NY","Lenexa, KS",51 to 200 ,0,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD),0,0,59000,85000
132,Data Analyst,$59K-$85K,3.4,Asset Staffing,"Newark, NJ","New York, NY",201 to 500 ,0,Contract,Staffing & Outsourcing,Business Services,0,0,0,59000,85000
133,Data Analyst,$59K-$85K,4,Reliable Software Resources,"New York, NY","Northville, MI",501 to 1000 ,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),0,0,59000,85000
134,Data Analyst,$59K-$85K,4.3,"Hearst Television, Inc","New York, NY","Cincinnati, OH",51 to 200 ,0,Company - Private,TV Broadcast & Cable Networks,Media,$5 to $10 million (USD),0,0,59000,85000
135,Data Analyst,$59K-$85K,2.7,William Hill US,"Jersey City, NJ","London, United Kingdom",10000+ ,1934,Company - Public,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),Sky Betting & Gaming,True,59000,85000
136,Data Analyst,$59K-$85K,4.1,Rockstar Games,"New York, NY","New York, NY",1001 to 5000 ,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),0,0,59000,85000
137,Data Analyst,$59K-$85K,4.4,ZDAAS,"Brooklyn, NY","Baltimore, MD",1 to 50 ,0,Company - Private,0,0,$1 to $5 million (USD),0,0,59000,85000
138,Data Analyst,$59K-$85K,3.1,Decision Resources Group,"New York, NY","Burlington, MA",1001 to 5000 ,1990,Subsidiary or Business Segment,IT Services,Information Technology,$100 to $500 million (USD),"IQVIA, GlobalData",0,59000,85000
139,Data Analyst,$59K-$85K,3,Highbridge Consulting LLC,"New York, NY","Pleasantville, NY",1 to 50 ,0,Company - Private,0,0,0,0,0,59000,85000
140,Data Analyst,$59K-$85K,2.9,"NTT DATA, Inc.","New York, NY","Singapore, Singapore",201 to 500 ,0,Company - Private,Accounting,Accounting & Legal,0,0,0,59000,85000
141,Data Analyst,$59K-$85K,3.9,Columbia University,"New York, NY","New York, NY",10000+ ,1938,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),0,0,59000,85000
142,Data Analyst,$59K-$85K,4.2,Precision technologies corp,"New York, NY","New Brunswick, NJ",201 to 500 ,2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),0,0,59000,85000
143,Data Analyst,$59K-$85K,3.9,Cactus Holdings,"Queens Village, NY","Mumbai, India",1001 to 5000 ,2002,Company - Private,Research & Development,Business Services,0,0,0,59000,85000
144,Data Analyst,$59K-$85K,4.2,Cuny Research Foundation,"New York, NY","New York, NY",10000+ ,1963,Nonprofit Organization,Colleges & Universities,Education,$100 to $500 million (USD),0,0,59000,85000
145,Data Analyst,$59K-$85K,-1,SGA Inc.,"New York, NY","Bethesda, MD",1 to 50 ,1996,Company - Private,Architectural & Engineering Services,Business Services,$1 to $5 million (USD),0,0,59000,85000
146,Data Analyst,$59K-$85K,5,Crossfire Consulting Corporation,"New York, NY","Yorktown Heights, NY",51 to 200 ,0,Company - Private,Consulting,Business Services,$5 to $10 million (USD),0,0,59000,85000
