Job Title,Company Name,Rating,Salary Estimate Average,Salary Estimate Min,Salary Estimate Max,Location,State,Size,Founded,Type of ownership,Industry,Sector,Revenue (millions),Easy Apply,Competitors
Data Engineer,Veeva Systems,3.5,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,100.0,0,0
Data Engineer,Citadel,3.8,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),1990,Company - Private,0,0,10.0,0,"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group"
Data Engineer,PulsePoint,4.4,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2011,Company - Private,Internet,Information Technology,50.0,0,"Crossix Solutions Inc., AppNexus, The Trade Desk"
Data Engineer,CEF Solutions Inc.,3.0,115000.0,80000,150000.0,"Hackensack, NJ", NJ,VSB (<50 Employees),0,Company - Public,0,0,0.0,0,0
Data Engineer,OpenSlate,5.0,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2012,Company - Private,Publishing,Media,0.0,0,0
Data Engineer,PA Consulting,3.3,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),1943,Company - Private,Consulting,Business Services,50.0,0,"McKinsey & Company, Accenture, Deloitte"
Data Engineer,Aetna,3.3,115000.0,80000,150000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1853,Company - Public,Insurance Carriers,Insurance,0.0,0,0
Data Engineer,Colgate-Palmolive,4.1,115000.0,80000,150000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1806,Company - Public,Consumer Products Manufacturing,Manufacturing,0.0,0,0
Data Engineer,PepsiCo,3.7,115000.0,80000,150000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1965,Company - Public,Food & Beverage Manufacturing,Manufacturing,0.0,0,"Unilever, Mondel?z International, Amazon"
Data Engineer,Spotify,3.8,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,0.0,0,0
Data Engineer,Freestar,4.9,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2016,Company - Private,Advertising & Marketing,Business Services,5.0,0,0
Data Engineer,Medidata Solutions,4.3,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,100.0,0,Oracle
Data Engineer,Cockroach Labs,4.7,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2015,Company - Private,Computer Hardware & Software,Information Technology,1.0,0,0
Data Engineer,T. Rowe Price,3.6,115000.0,80000,150000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1937,Company - Public,Investment Banking & Asset Management,Finance,500.0,0,0
Data Engineer,DoubleVerify,3.6,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2008,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,FourSquare,2.5,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2009,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Maestro Technologies,5.0,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2003,Company - Private,IT Services,Information Technology,1.0,0,0
Data Engineer,GNY Insurance Companies,3.7,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),1914,Company - Private,Insurance Carriers,Insurance,50.0,True,"Travelers, Chubb, Crum & Forster"
Data Engineer,Daily Harvest,3.5,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2015,Company - Private,Food & Beverage Manufacturing,Manufacturing,0.0,0,0
Data Engineer,Healthfirst,3.1,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),1993,Nonprofit Organization,Insurance Carriers,Insurance,0.0,0,"EmblemHealth, UnitedHealth Group, Aetna"
Data Engineer,Point72,3.9,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2014,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,MayStreet,4.2,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2012,Company - Private,Financial Analytics & Research,Finance,0.0,True,0
Data Engineer,Arrow Fastener,2.9,83500.0,73000,94000.0,"Saddle Brook, NJ", NJ,VSB (<50 Employees),1929,Company - Private,Consumer Products Manufacturing,Manufacturing,50.0,0,0
Data Engineer,New York Times,3.8,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),1896,Company - Public,News Outlet,Media,200.0,0,0
Data Engineer,SADA,4.7,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2000,Company - Private,IT Services,Information Technology,10.0,0,0
Data Engineer,Larsen & Toubro Infotech Limited,3.5,83500.0,73000,94000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1997,Company - Public,IT Services,Information Technology,0.0,0,"Infosys, Accenture, Capgemini"
Data Engineer,"Peloton Interactive, Inc.",3.8,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,0.0,0,0
Data Engineer,Aptino,0.0,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Columbia University,3.9,83500.0,73000,94000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1938,College / University,Colleges & Universities,Education,500.0,0,0
Data Engineer,Bark & Co,2.7,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2011,Company - Private,Pet & Pet Supplies Stores,Retail,0.0,0,0
Data Engineer,AVANADE,3.9,83500.0,73000,94000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",2000,Company - Private,IT Services,Information Technology,500.0,0,"Slalom, Cognizant Technology Solutions, Deloitte"
Data Engineer,New York Times,3.8,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),1896,Company - Public,News Outlet,Media,200.0,0,0
Data Engineer,Apple,4.1,83500.0,73000,94000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1976,Company - Public,Computer Hardware & Software,Information Technology,0.0,0,"Google, Microsoft, Samsung Electronics"
Data Engineer,Glossier,3.1,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2014,Company - Private,Beauty & Personal Accessories Stores,Retail,50.0,0,0
Data Engineer,Point72,3.9,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2014,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,CommonBond,3.8,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2011,Company - Private,Lending,Finance,0.0,0,0
Data Engineer,Reaktor,4.8,83500.0,73000,94000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2000,Company - Private,Computer Hardware & Software,Information Technology,10.0,0,0
Data Engineer,Stash,3.9,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2015,Company - Private,Brokerage Services,Finance,0.0,0,0
Data Engineer,Mark43,4.4,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,1.0,True,0
Data Engineer,B12,4.7,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2015,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Clear Street,0.0,83500.0,73000,94000.0,"New York, NY", NY,SMB(51-500 Employees),2018,Company - Public,0,0,0.5,0,0
Data Engineer,Sirius XM,3.1,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),1990,Company - Public,Radio,Media,500.0,0,0
Data Engineer,Tiro,1.0,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Seated,4.7,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),2017,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Vimeo,3.9,83500.0,73000,94000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2004,Subsidiary or Business Segment,Internet,Information Technology,0.0,0,"YouTube, Netflix, Hulu"
Data Engineer,Thinknum,0.0,83500.0,73000,94000.0,"New York, NY", NY,0,0,Company - Private,0,0,0.0,0,0
Data Engineer,Amazon,3.9,83500.0,73000,94000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1994,Company - Public,Internet,Information Technology,0.0,0,"Google, Microsoft, Walmart"
Data Engineer,The Princeton Group,0.0,83500.0,73000,94000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Affinity Solutions,3.0,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),1998,Company - Private,Advertising & Marketing,Business Services,0.0,True,"Commerce Signals, Cardlytics, Yodlee"
Data Engineer,NJF Global Holdings,4.2,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),2003,Company - Private,Staffing & Outsourcing,Business Services,2.5,True,0
Data Engineer,Pinto,0.0,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Millennium,3.9,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),1989,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,Bloomberg,3.8,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1981,Company - Private,Computer Hardware & Software,Information Technology,0.0,0,"Google, Goldman Sachs, Thomson Reuters"
Data Engineer,Nasdaq,3.6,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),1971,Company - Public,Stock Exchanges,Finance,500.0,0,"ICE, CME Group, Cboe Global Markets"
Data Engineer,Balyasny Asset Management,3.9,119500.0,85000,154000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2001,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,National Basketball Association,3.8,119500.0,85000,154000.0,"Secaucus, NJ", NJ,VSB (<50 Employees),1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",0.0,0,0
Data Engineer,Attentive,0.0,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Teachers Pay Teachers,4.9,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),2006,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Datadog,4.1,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2010,Company - Public,Computer Hardware & Software,Information Technology,50.0,0,0
Data Engineer,Millennium,3.9,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),1989,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,Proinfy,0.0,119500.0,85000,154000.0,"Parsippany, NJ", NJ,0,0,Company - Public,0,0,0.0,0,0
Data Engineer,Veeva Systems,3.5,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,100.0,0,0
Data Engineer,Facebook,4.5,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",2004,Company - Public,Internet,Information Technology,1000.0,0,"Google, Microsoft, Apple"
Data Engineer,Hudson River Trading,5.0,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2002,Company - Private,Financial Analytics & Research,Finance,0.0,0,0
Data Engineer,LaBine & Associates,5.0,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2013,Company - Private,Staffing & Outsourcing,Business Services,0.0,0,0
Data Engineer,New York Life Insurance Co,3.6,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1845,Company - Private,Insurance Agencies & Brokerages,Insurance,0.0,0,0
Data Engineer,BrainPOP,4.3,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),1999,Company - Private,K-12 Education,Education,0.0,True,0
Data Engineer,Quadpay,3.2,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),2018,Company - Private,Financial Transaction Processing,Finance,0.0,0,0
Data Engineer,Walt Disney Co.,4.0,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1923,Company - Public,Motion Picture Production & Distribution,Media,0.0,0,"News Corp, WarnerMedia, NBCUniversal"
Data Engineer,Caserta,4.3,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),2001,Company - Private,IT Services,Information Technology,0.0,0,0
Data Engineer,Citadel,3.8,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),1990,Company - Private,0,0,10.0,0,"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group"
Data Engineer,Columbia University Medical Center,3.8,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",0,Hospital,Health Care Services & Hospitals,Health Care,100.0,0,0
Data Engineer,Elevano,4.5,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2009,Company - Private,Staffing & Outsourcing,Business Services,0.5,0,0
Data Engineer,Spotify,3.8,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,0.0,0,0
Data Engineer,Aetna,3.3,119500.0,85000,154000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1853,Company - Public,Insurance Carriers,Insurance,0.0,0,0
Data Engineer,Affirm,3.5,119500.0,85000,154000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2012,Company - Private,Lending,Finance,0.0,0,0
Data Engineer,Blue State,3.4,119500.0,85000,154000.0,"New York, NY", NY,SMB(51-500 Employees),2004,Subsidiary or Business Segment,Advertising & Marketing,Business Services,5.0,0,0
Data Engineer,Atyeti,4.4,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),2008,Company - Private,IT Services,Information Technology,5.0,0,0
Data Engineer,Nasdaq,3.6,119500.0,85000,154000.0,"New York, NY", NY,VSB (<50 Employees),1971,Company - Public,Stock Exchanges,Finance,500.0,0,"ICE, CME Group, Cboe Global Markets"
Data Engineer,American Modern Insurance Group,3.5,119500.0,85000,154000.0,"New York, NY", NY,0,1994,Subsidiary or Business Segment,Insurance Carriers,Insurance,5.0,0,0
Data Engineer,Conductor,4.4,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2010,Company - Private,Internet,Information Technology,5.0,True,"Brightedge Technologies, Moz, seoClarity"
Data Engineer,Twitter,4.0,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,500.0,0,"Facebook, Google, Pinterest"
Data Engineer,Transit Wireless (USD),2.6,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),0,Company - Private,Telecommunications Services,Telecommunications,0.0,0,0
Data Engineer,Addepar,4.4,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2009,Company - Private,Enterprise Software & Network Solutions,Information Technology,0.0,0,0
Data Engineer,Point72,3.9,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2014,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,Silver Search Inc,3.9,98500.0,84000,113000.0,"New York, NY", NY,0,0,Contract,Staffing & Outsourcing,Business Services,0.0,0,0
Data Engineer,Millennium Partners,5.0,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),1991,Company - Private,Real Estate,Real Estate,0.5,0,"Extell, Tishman Speyer"
Data Engineer,"Pandora Media, Inc.",3.5,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2000,Company - Public,Radio,Media,100.0,0,0
Data Engineer,Novantas,2.9,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),1999,Company - Private,Financial Analytics & Research,Finance,0.0,0,0
Data Engineer,Entera,0.0,98500.0,84000,113000.0,"New York, NY", NY,0,0,Company - Private,Real Estate,Real Estate,0.0,0,0
Data Engineer,Stadium Goods,2.8,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,FanDuel,3.9,98500.0,84000,113000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",50.0,True,DraftKings
Data Engineer,Munich Re,3.7,98500.0,84000,113000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1880,Company - Public,Insurance Carriers,Insurance,0.0,0,0
Data Engineer,Ladders,4.0,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),2003,Company - Private,Internet,Information Technology,0.0,0,"Indeed, LinkedIn"
Data Engineer,Facebook,4.5,98500.0,84000,113000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",2004,Company - Public,Internet,Information Technology,1000.0,0,"Google, Microsoft, Apple"
Data Engineer,J.P. Morgan,3.9,98500.0,84000,113000.0,"Newark, NJ", NJ,"Enterprise(5,000+ Employees)",1799,Company - Public,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,WisdomTree Investments Inc,3.7,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Public,Investment Banking & Asset Management,Finance,50.0,0,VanEck
Data Engineer,The Boston Consulting Group,4.3,98500.0,84000,113000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1963,Company - Private,Consulting,Business Services,1.0,0,"McKinsey & Company, Bain & Company, Accenture"
Data Engineer,Spotify,3.8,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,0.0,0,0
Data Engineer,ERGO Group,3.3,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),1993,Company - Private,Enterprise Software & Network Solutions,Information Technology,5.0,0,0
Data Engineer,Pierce Technology Corp,0.0,98500.0,84000,113000.0,"New York, NY", NY,0,0,0,0,0,0.0,0,0
Data Engineer,Progyny,4.0,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),2015,Company - Public,Health Care Services & Hospitals,Health Care,0.0,0,0
Data Engineer,"Conch Technologies, Inc",4.6,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),0,Company - Private,Consulting,Business Services,1.0,0,0
Data Engineer,MANTA (Czech Republic),0.0,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),0,Unknown,0,0,0.0,True,0
Data Engineer,FourSquare,2.5,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2009,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Business Insider,3.4,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2007,Company - Private,News Outlet,Media,10.0,0,0
Data Engineer,Resource 1,5.0,98500.0,84000,113000.0,"Newark, NJ", NJ,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,TelTech,4.8,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),2005,Company - Public,Telecommunications Services,Telecommunications,1.0,0,0
Data Engineer,HelloFresh,3.4,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),2011,Company - Public,"Health, Beauty, & Fitness",Consumer Services,0.0,0,0
Data Engineer,Fivesky,4.7,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,5.0,0,0
Data Engineer,Getty Images,2.8,98500.0,84000,113000.0,"New York, NY", NY,VSB (<50 Employees),1995,Company - Private,Photography,"Arts, Entertainment & Recreation",0.0,0,"Adobe, Shutterstock"
Data Engineer,PlaceIQ,3.4,98500.0,84000,113000.0,"New York, NY", NY,SMB(51-500 Employees),2010,Company - Private,Computer Hardware & Software,Information Technology,2.5,0,0
Data Engineer,Jane Street,4.8,66000.0,57000,75000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2000,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,Veeva Systems,3.5,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2007,Company - Public,Enterprise Software & Network Solutions,Information Technology,100.0,0,0
Data Engineer,Amazon,3.9,66000.0,57000,75000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1994,Company - Public,Internet,Information Technology,0.0,0,"Google, Microsoft, Walmart"
Data Engineer,Tapad,4.2,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),2010,Company - Private,Internet,Information Technology,10.0,True,0
Data Engineer,INTURN,4.4,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Nokia,4.1,66000.0,57000,75000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1865,Company - Public,Telecommunications Services,Telecommunications,0.0,0,"Ericsson-Worldwide, Huawei Technologies, Microsoft"
Data Engineer,Policygenius,4.5,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2012,Company - Private,Insurance Agencies & Brokerages,Insurance,0.0,0,0
Data Engineer,"Lokavant, Inc.",0.0,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Rockstar Games,4.0,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),1998,Subsidiary or Business Segment,Video Games,Media,2.5,0,0
Data Engineer,ApTask,3.9,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2010,Company - Private,IT Services,Information Technology,10.0,0,"Collabera, Mitchell Martin, The Judge Group"
Data Engineer,City of New York,3.4,66000.0,57000,75000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1625,Government,Municipal Governments,Government,0.0,0,0
Data Engineer,AllianceBernstein,3.2,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),1967,Company - Public,Investment Banking & Asset Management,Finance,500.0,0,0
Data Engineer,Spotify,3.8,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,0.0,0,0
Data Engineer,Mosaic Group,0.0,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2003,Company - Private,Advertising & Marketing,Business Services,0.0,0,0
Data Engineer,Motivate,2.2,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,1.0,0,0
Data Engineer,Memorial Sloan-Kettering,3.9,66000.0,57000,75000.0,"New York, NY", NY,"Enterprise(5,000+ Employees)",1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,500.0,0,"Mayo Clinic, The Johns Hopkins Hospital, MD Anderson Cancer Center"
Data Engineer,Docker,2.9,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2013,Company - Private,Computer Hardware & Software,Information Technology,0.0,0,0
Data Engineer,Dataquad Inc.,0.0,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Resource1,0.0,66000.0,57000,75000.0,"Newark, NJ", NJ,VSB (<50 Employees),0,Company - Public,0,0,0.0,0,0
Data Engineer,Simon Data,4.5,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),2015,Company - Private,Computer Hardware & Software,Information Technology,0.0,0,0
Data Engineer,Red Balloon Security,4.4,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2011,Company - Private,Computer Hardware & Software,Information Technology,0.0,True,0
Data Engineer,EDO,5.0,66000.0,57000,75000.0,"New York, NY", NY,0,0,Company - Private,0,0,0.0,0,0
Data Engineer,Stash,0.0,66000.0,57000,75000.0,"New York, NY", NY,0,0,Company - Private,0,0,0.0,0,0
Data Engineer,The Farmer's Dog,4.9,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2014,Company - Private,Food Production,Agriculture & Forestry,0.0,True,0
Data Engineer,CGI,3.5,66000.0,57000,75000.0,"Bloomfield, NJ", NJ,"Enterprise(5,000+ Employees)",1976,Company - Public,Consulting,Business Services,0.0,0,"IBM, Accenture, Booz Allen Hamilton"
Data Engineer,Jun Group Productions LLC,4.7,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),2005,Company - Private,Internet,Information Technology,0.0,0,0
Data Engineer,Koneksa Health,0.0,66000.0,57000,75000.0,"New York, NY", NY,0,0,Company - Public,0,0,0.0,0,0
Data Engineer,"T-REX Group, Inc.",2.0,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Virtual Clarity,3.2,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),2008,Company - Private,IT Services,Information Technology,0.0,0,0
Data Engineer,JSR Tech Consulting,0.0,66000.0,57000,75000.0,"Newark, NJ", NJ,VSB (<50 Employees),0,Company - Private,0,0,0.0,0,0
Data Engineer,Youngsoft,3.5,66000.0,57000,75000.0,"New York, NY", NY,SMB(51-500 Employees),1996,Company - Private,IT Services,Information Technology,2.5,0,0
Data Engineer,ingenium.agency,5.0,66000.0,57000,75000.0,"New York, NY", NY,VSB (<50 Employees),2016,Company - Private,Staffing & Outsourcing,Business Services,0.5,0,0
